Unnamed: 0|uid|bildname|mbv|color|damage|action|part|cost|damage_en|action_en|part_en|part_p1|part_p2|img_file_path|part_p1_en|part_p2_en|dirty|status|ann_file_path
15576|b705fac6-9140-4e52-84c0-e2f60ae39a01|grp_Beschädigung-7_num_46_id_141687237.jpg|5E|8E|verkratzt / verschürft|smart repair|stossfänger vorn - spoiler|80.0|scratched-stained|smart repair| bumper front - spoiler|stossfänger vorn|spoiler|./person/person_5/data/img/grp_Beschädigung-7_num_46_id_141687237.jpg|bumper front|spoiler|False|False|./person/person_5/data/annotation/grp_Beschädigung-7_num_46_id_141687237.xml
148946|2bcf1500-c8c2-4ff4-bf94-94974e817ada|grp_Beschädigung-7_num_36_id_133197593.jpg|36|5K|verkratzt / verschürft|erneuern|verkleidungen/abdeckungen - zierleiste / dekorleiste|100.0|scratched-stained|renew| / Covers coverings - molding / decor strip|verkleidungen/abdeckungen|zierleiste / dekorleiste|./person/person_5/data/img/grp_Beschädigung-7_num_36_id_133197593.jpg|/ Covers coverings|molding / decor strip|False|False|./person/person_5/data/annotation/grp_Beschädigung-7_num_36_id_133197593.xml
119440|1a130961-de84-4f35-8a36-9f92265704bf|grp_Beschädigung-5_num_42_id_147401516.jpg|1T|0Q|verkratzt / verschürft|erneuern|verkleidungen/abdeckungen - heckdeckel, innenverkleidung|120.0|scratched-stained|renew| / Covers coverings - rear cover interior panelling|verkleidungen/abdeckungen|heckdeckel, innenverkleidung|./person/person_5/data/img/grp_Beschädigung-5_num_42_id_147401516.jpg|/ Covers coverings|rear cover interior panelling|False|False|./person/person_5/data/annotation/grp_Beschädigung-5_num_42_id_147401516.xml
235431|eb5b4a84-6079-4161-8a0b-ab525156a8f6|grp_Beschädigung-2_num_32_id_141585012.jpg|5G|Z2|verkratzt / verschürft|lackieren|tür vorn links - griff außen|61.75|scratched-stained|paint| door front left - Handle outside|tür vorn links|griff außen|./person/person_5/data/img/grp_Beschädigung-2_num_32_id_141585012.jpg|door front left|Handle outside|False|False|./person/person_5/data/annotation/grp_Beschädigung-2_num_32_id_141585012.xml
74357|f9b9ef56-a1d3-4058-9038-84869d173817|grp_Beschädigung-6_num_39_id_139439639.jpg|8V|T9|verkratzt / verschürft|smart repair|2.radsatz - 1 leichtmetallfelge|160.0|scratched-stained|smart repair| 2.gearset - 1 alloy wheels|2.radsatz|1 leichtmetallfelge|./person/person_5/data/img/grp_Beschädigung-6_num_39_id_139439639.jpg|2.gearset|1 alloy wheels|False|False|./person/person_5/data/annotation/grp_Beschädigung-6_num_39_id_139439639.xml
248766|e40d4bf9-31ce-4e96-a692-640dd2aa76f8|grp_Beschädigung-5_num_39_id_148971175.jpg|BA|5K|verkratzt / verschürft|erneuern|blinkleuchte - spiegel rechts|102.0|scratched-stained|renew| flashing light - mirror right|blinkleuchte|spiegel rechts|./person/person_5/data/img/grp_Beschädigung-5_num_39_id_148971175.jpg|flashing light|mirror right|False|False|./person/person_5/data/annotation/grp_Beschädigung-5_num_39_id_148971175.xml
13921|923a406d-4983-4113-9402-2eedf9452709|grp_Beschädigung-1_num_30_id_144117869.jpg|5E|1Z|verkratzt / verschürft|smart repair|rad/reifen - leichtmetallfelge hinten rechts|120.0|scratched-stained|smart repair| wheel / tyre - alloy wheels behind right|rad/reifen|leichtmetallfelge hinten rechts|./person/person_5/data/img/grp_Beschädigung-1_num_30_id_144117869.jpg|wheel / tyre|alloy wheels behind right|False|False|./person/person_5/data/annotation/grp_Beschädigung-1_num_30_id_144117869.xml
199965|cced188e-ff0e-4dc0-bbf2-c1a7c493aca0|grp_Beschädigung-4_num_34_id_161784609.jpg|3G|2T|verkratzt / verschürft|smart repair|rad/reifen - leichtmetallfelge hinten links|120.0|scratched-stained|smart repair| wheel / tyre - alloy wheels behind left|rad/reifen|leichtmetallfelge hinten links|./person/person_5/data/img/grp_Beschädigung-4_num_34_id_161784609.jpg|wheel / tyre|alloy wheels behind left|False|False|./person/person_5/data/annotation/grp_Beschädigung-4_num_34_id_161784609.xml
147620|4ce62a47-a114-498a-95fb-abee2ba92574|grp_Beschädigung-15_num_62_id_147759739.jpg|36|P0|verkratzt / verschürft|instandsetzen und lackieren|tür vorn links - tür|409.15|scratched-stained|repair and paint| door front left - door|tür vorn links|tür|./person/person_5/data/img/grp_Beschädigung-15_num_62_id_147759739.jpg|door front left|door|False|False|./person/person_5/data/annotation/grp_Beschädigung-15_num_62_id_147759739.xml
227459|e3da9c7d-546f-4eac-9441-7d9776770add|grp_Beschädigung-13_num_72_id_131996547.jpg|12|B4|verkratzt / verschürft|wertminderung|2.radsatz - 3 leichtmetallfelgen|400.0|scratched-stained|impairment| 2.gearset - 3 alloy wheels|2.radsatz|3 leichtmetallfelgen|./person/person_5/data/img/grp_Beschädigung-13_num_72_id_131996547.jpg|2.gearset|3 alloy wheels|False|False|./person/person_5/data/annotation/grp_Beschädigung-13_num_72_id_131996547.xml
42921|57359244-b5a5-45d8-aced-e5a601b9eeeb|grp_Beschädigung-4_num_21_id_163002298.jpg|4G|0E|verkratzt / verschürft|smart repair|außenspiegel links - abdeckkappe|50.0|scratched-stained|smart repair| outside mirror left - cover cap|außenspiegel links|abdeckkappe|./person/person_5/data/img/grp_Beschädigung-4_num_21_id_163002298.jpg|outside mirror left|cover cap|False|False|./person/person_5/data/annotation/grp_Beschädigung-4_num_21_id_163002298.xml
253370|267a24e8-46af-4320-abc6-c9b8291ac97d|grp_Beschädigung-1_num_32_id_151733594.jpg|BA|2T|verkratzt / verschürft|smart repair|außenspiegel links - abdeckkappe|60.0|scratched-stained|smart repair| outside mirror left - cover cap|außenspiegel links|abdeckkappe|./person/person_5/data/img/grp_Beschädigung-1_num_32_id_151733594.jpg|outside mirror left|cover cap|False|False|./person/person_5/data/annotation/grp_Beschädigung-1_num_32_id_151733594.xml
115541|599eadad-9432-473a-9029-fed690d9a248|grp_Beschädigung-2_num_34_id_137182039.jpg|1T|8E|verkratzt / verschürft|smart repair|schweller rechts - einstieg|100.0|scratched-stained|smart repair| sill right - Started|schweller rechts|einstieg|./person/person_5/data/img/grp_Beschädigung-2_num_34_id_137182039.jpg|sill right|Started|False|False|./person/person_5/data/annotation/grp_Beschädigung-2_num_34_id_137182039.xml
